# x, y, theta, v_l, v_r
6.03, 267.10, 1.508, 25.02, 25.02
6.05, 267.35, 1.508, 25.02, 25.02
6.07, 267.60, 1.508, 25.02, 25.02
6.08, 267.85, 1.508, 25.02, 25.02
6.10, 268.10, 1.508, 25.02, 25.02
6.11, 268.35, 1.508, 25.02, 25.02
6.13, 268.60, 1.508, 25.02, 25.02
6.14, 268.85, 1.508, 25.02, 25.02
6.16, 269.10, 1.508, 25.02, 25.02
6.18, 269.35, 1.508, 25.02, 25.02
6.19, 269.59, 1.508, 25.02, 25.02
6.21, 269.84, 1.508, 25.02, 25.02
6.22, 270.09, 1.508, 25.02, 25.02
6.24, 270.34, 1.508, 25.02, 25.02
6.25, 270.59, 1.508, 25.02, 25.02
6.27, 270.84, 1.508, 25.02, 25.02
6.28, 271.09, 1.508, 25.02, 25.02
6.30, 271.34, 1.508, 25.02, 25.02
6.32, 271.59, 1.508, 25.02, 25.02
6.33, 271.84, 1.508, 25.02, 25.02
6.35, 272.09, 1.508, 25.02, 25.02
6.36, 272.34, 1.508, 25.02, 25.02
6.38, 272.59, 1.508, 25.02, 25.02
6.39, 272.84, 1.508, 25.02, 25.02
6.41, 273.09, 1.508, 25.02, 25.02
6.43, 273.34, 1.508, 25.02, 25.02
6.44, 273.59, 1.508, 25.02, 25.02
6.46, 273.84, 1.508, 25.02, 25.02
6.47, 274.09, 1.508, 25.02, 25.02
6.49, 274.34, 1.508, 25.02, 25.02
6.50, 274.59, 1.508, 25.02, 25.02
6.52, 274.84, 1.508, 25.02, 25.02
6.54, 275.09, 1.508, 25.02, 25.02
6.55, 275.34, 1.508, 25.02, 25.02
6.57, 275.59, 1.508, 25.02, 25.02
6.58, 275.84, 1.508, 25.02, 25.02
6.60, 276.09, 1.508, 25.02, 25.02
6.61, 276.34, 1.508, 25.02, 25.02
6.63, 276.59, 1.508, 25.02, 25.02
6.64, 276.84, 1.508, 25.02, 25.02
6.66, 277.09, 1.508, 25.02, 25.02
6.68, 277.34, 1.508, 25.02, 25.02
6.69, 277.59, 1.508, 25.02, 25.02
6.71, 277.84, 1.508, 25.02, 25.02
6.72, 278.09, 1.508, 25.02, 25.02
6.74, 278.34, 1.508, 25.02, 25.02
6.75, 278.59, 1.508, 25.02, 25.02
6.77, 278.84, 1.508, 25.02, 25.02
6.79, 279.09, 1.508, 25.02, 25.02
6.80, 279.34, 1.508, 25.02, 25.02
6.82, 279.59, 1.508, 25.02, 25.02
6.83, 279.83, 1.508, 25.02, 25.02
6.85, 280.08, 1.508, 25.02, 25.02
6.86, 280.33, 1.508, 25.02, 25.02
6.88, 280.58, 1.508, 25.02, 25.02
6.89, 280.83, 1.508, 25.02, 25.02
6.91, 281.08, 1.508, 25.02, 25.02
6.93, 281.33, 1.508, 25.02, 25.02
6.94, 281.58, 1.508, 25.02, 25.02
6.96, 281.83, 1.508, 25.02, 25.02
6.97, 282.08, 1.508, 25.02, 25.02
6.99, 282.33, 1.508, 25.02, 25.02
7.00, 282.58, 1.508, 25.02, 25.02
7.02, 282.83, 1.508, 25.02, 25.02
7.04, 283.08, 1.508, 25.02, 25.02
7.05, 283.33, 1.508, 25.02, 25.02
7.07, 283.58, 1.508, 25.02, 25.02
7.08, 283.83, 1.508, 25.02, 25.02
7.10, 284.08, 1.508, 25.02, 25.02
7.11, 284.33, 1.508, 25.02, 25.02
7.13, 284.58, 1.508, 25.02, 25.02
7.15, 284.83, 1.508, 25.02, 25.02
7.16, 285.08, 1.508, 25.02, 25.02
7.18, 285.33, 1.508, 25.02, 25.02
7.19, 285.58, 1.508, 25.02, 25.02
7.21, 285.83, 1.508, 25.02, 25.02
7.22, 286.08, 1.508, 25.02, 25.02
7.24, 286.33, 1.508, 25.02, 25.02
7.25, 286.58, 1.508, 25.02, 25.02
7.27, 286.83, 1.508, 25.02, 25.02
7.29, 287.08, 1.508, 25.02, 25.02
7.30, 287.33, 1.508, 25.02, 25.02
7.32, 287.58, 1.508, 25.02, 25.02
7.33, 287.83, 1.508, 25.02, 25.02
7.35, 288.08, 1.508, 25.02, 25.02
7.36, 288.33, 1.508, 25.02, 25.02
7.38, 288.58, 1.508, 25.02, 25.02
7.40, 288.83, 1.508, 25.02, 25.02
7.41, 289.08, 1.508, 25.02, 25.02
7.43, 289.33, 1.508, 25.02, 25.02
7.44, 289.58, 1.508, 25.02, 25.02
7.46, 289.83, 1.508, 25.02, 25.02
7.47, 290.07, 1.508, 25.02, 25.02
7.49, 290.32, 1.508, 25.02, 25.02
7.51, 290.57, 1.508, 25.02, 25.02
7.52, 290.82, 1.508, 25.02, 25.02
7.54, 291.07, 1.508, 25.02, 25.02
7.55, 291.32, 1.508, 25.02, 25.02
7.57, 291.57, 1.508, 25.02, 25.02
7.58, 291.82, 1.508, 25.02, 25.02
7.60, 292.07, 1.508, 25.02, 25.02
7.61, 292.32, 1.508, 25.02, 25.02
7.63, 292.57, 1.508, 25.02, 25.02
7.65, 292.82, 1.508, 25.02, 25.02
7.66, 293.07, 1.508, 25.02, 25.02
7.68, 293.32, 1.508, 25.02, 25.02
7.69, 293.57, 1.508, 25.02, 25.02
7.71, 293.82, 1.508, 25.02, 25.02
7.72, 294.07, 1.508, 25.02, 25.02
7.74, 294.32, 1.508, 25.02, 25.02
7.76, 294.57, 1.508, 25.02, 25.02
7.77, 294.82, 1.508, 25.02, 25.02
7.79, 295.07, 1.508, 25.02, 25.02
7.80, 295.32, 1.508, 25.02, 25.02
7.82, 295.57, 1.508, 25.02, 25.02
7.83, 295.82, 1.508, 25.02, 25.02
7.85, 296.07, 1.508, 25.02, 25.02
7.87, 296.32, 1.508, 25.02, 25.02
7.88, 296.57, 1.508, 25.02, 25.02
7.90, 296.82, 1.508, 25.02, 25.02
7.91, 297.07, 1.508, 25.02, 25.02
7.93, 297.32, 1.508, 25.02, 25.02
7.94, 297.57, 1.508, 25.02, 25.02
7.96, 297.82, 1.508, 25.02, 25.02
7.97, 298.07, 1.508, 25.02, 25.02
7.99, 298.32, 1.508, 25.02, 25.02
8.01, 298.57, 1.508, 25.02, 25.02
8.02, 298.82, 1.508, 25.02, 25.02
8.04, 299.07, 1.508, 25.02, 25.02
8.05, 299.32, 1.508, 25.02, 25.02
8.07, 299.57, 1.508, 25.02, 25.02
8.08, 299.82, 1.508, 25.02, 25.02
8.10, 300.07, 1.508, 25.02, 25.02
8.12, 300.31, 1.508, 25.02, 25.02
8.13, 300.56, 1.508, 25.02, 25.02
8.15, 300.81, 1.508, 25.02, 25.02
8.16, 301.06, 1.508, 25.02, 25.02
8.18, 301.31, 1.508, 25.02, 25.02
8.19, 301.56, 1.508, 25.02, 25.02
8.21, 301.81, 1.508, 25.02, 25.02
8.22, 302.06, 1.508, 25.02, 25.02
8.24, 302.31, 1.508, 25.02, 25.02
8.26, 302.56, 1.508, 25.02, 25.02
8.27, 302.81, 1.508, 25.02, 25.02
8.29, 303.06, 1.508, 25.02, 25.02
8.30, 303.31, 1.508, 25.02, 25.02
8.32, 303.56, 1.508, 25.02, 25.02
8.33, 303.81, 1.508, 25.02, 25.02
8.35, 304.06, 1.508, 25.02, 25.02
8.37, 304.31, 1.508, 25.02, 25.02
8.38, 304.56, 1.508, 25.02, 25.02
8.40, 304.81, 1.508, 25.02, 25.02
8.41, 305.06, 1.508, 25.02, 25.02
8.43, 305.31, 1.508, 25.02, 25.02
8.44, 305.56, 1.508, 25.02, 25.02
8.46, 305.81, 1.508, 25.02, 25.02
8.48, 306.06, 1.508, 25.02, 25.02
8.49, 306.31, 1.508, 25.02, 25.02
8.51, 306.56, 1.508, 25.02, 25.02
8.52, 306.81, 1.508, 25.02, 25.02
8.54, 307.06, 1.508, 25.02, 25.02
8.55, 307.31, 1.508, 25.02, 25.02
8.57, 307.56, 1.508, 25.02, 25.02
8.58, 307.81, 1.508, 25.02, 25.02
8.60, 308.06, 1.508, 25.02, 25.02
8.62, 308.31, 1.508, 25.02, 25.02
8.63, 308.56, 1.508, 25.02, 25.02
8.65, 308.81, 1.508, 25.02, 25.02
8.66, 309.06, 1.508, 25.02, 25.02
8.68, 309.31, 1.508, 25.02, 25.02
8.69, 309.56, 1.508, 25.02, 25.02
8.71, 309.81, 1.508, 25.02, 25.02
8.73, 310.06, 1.508, 25.02, 25.02
8.74, 310.30, 1.508, 25.02, 25.02
8.76, 310.55, 1.508, 25.02, 25.02
8.77, 310.80, 1.508, 25.02, 25.02
8.79, 311.05, 1.508, 25.02, 25.02
8.80, 311.30, 1.508, 25.02, 25.02
8.82, 311.55, 1.508, 25.02, 25.02
8.84, 311.80, 1.508, 25.02, 25.02
8.85, 312.05, 1.508, 25.02, 25.02
8.87, 312.30, 1.508, 25.02, 25.02
8.88, 312.55, 1.508, 25.02, 25.02
8.90, 312.80, 1.508, 25.02, 25.02
8.91, 313.05, 1.508, 25.02, 25.02
8.93, 313.30, 1.508, 25.02, 25.02
8.94, 313.55, 1.508, 25.02, 25.02
8.96, 313.80, 1.508, 25.02, 25.02
8.98, 314.05, 1.508, 25.02, 25.02
8.99, 314.30, 1.508, 25.02, 25.02
9.01, 314.55, 1.508, 25.02, 25.02
9.02, 314.80, 1.508, 25.02, 25.02
9.04, 315.05, 1.508, 25.02, 25.02
9.05, 315.30, 1.508, 25.02, 25.02
9.07, 315.55, 1.508, 25.02, 25.02
9.09, 315.80, 1.508, 25.02, 25.02
9.10, 316.05, 1.508, 25.02, 25.02
9.12, 316.30, 1.508, 25.02, 25.02
9.13, 316.55, 1.508, 25.02, 25.02
9.15, 316.80, 1.508, 25.02, 25.02
9.16, 317.05, 1.508, 25.02, 25.02
9.18, 317.30, 1.508, 25.02, 25.02
9.20, 317.55, 1.508, 25.02, 25.02
9.21, 317.80, 1.508, 25.02, 25.02
9.23, 318.05, 1.508, 25.02, 25.02
9.24, 318.30, 1.508, 25.02, 25.02
9.26, 318.55, 1.508, 25.02, 25.02
9.27, 318.80, 1.508, 25.02, 25.02
9.29, 319.05, 1.508, 25.02, 25.02
9.30, 319.30, 1.508, 25.02, 25.02
9.32, 319.55, 1.508, 25.02, 25.02
9.34, 319.80, 1.508, 25.02, 25.02
9.35, 320.05, 1.508, 25.02, 25.02
9.37, 320.30, 1.508, 25.02, 25.02
9.38, 320.54, 1.508, 25.02, 25.02
9.40, 320.79, 1.508, 25.02, 25.02
9.41, 321.04, 1.508, 25.02, 25.02
9.43, 321.29, 1.508, 25.02, 25.02
9.45, 321.54, 1.508, 25.02, 25.02
9.46, 321.79, 1.508, 25.02, 25.02
9.48, 322.04, 1.508, 25.02, 25.02
9.49, 322.29, 1.508, 25.02, 25.02
9.51, 322.54, 1.508, 25.02, 25.02
9.52, 322.79, 1.508, 25.02, 25.02
9.54, 323.04, 1.508, 25.02, 25.02
9.55, 323.29, 1.508, 25.02, 25.02
9.57, 323.54, 1.508, 25.02, 25.02
9.59, 323.79, 1.508, 25.02, 25.02
9.60, 324.04, 1.508, 25.02, 25.02
9.62, 324.29, 1.508, 25.02, 25.02
9.63, 324.54, 1.508, 25.02, 25.02
9.65, 324.79, 1.508, 25.02, 25.02
9.66, 325.04, 1.508, 25.02, 25.02
9.68, 325.29, 1.508, 25.02, 25.02
9.70, 325.54, 1.508, 25.02, 25.02
9.71, 325.79, 1.508, 25.02, 25.02
9.73, 326.04, 1.508, 25.02, 25.02
9.74, 326.29, 1.508, 25.02, 25.02
9.76, 326.54, 1.508, 25.02, 25.02
9.77, 326.79, 1.508, 25.02, 25.02
9.79, 327.04, 1.508, 25.02, 25.02
9.81, 327.29, 1.508, 25.02, 25.02
9.82, 327.54, 1.508, 25.02, 25.02
9.84, 327.79, 1.508, 25.02, 25.02
9.85, 328.04, 1.508, 25.02, 25.02
9.87, 328.29, 1.508, 25.02, 25.02
9.88, 328.54, 1.508, 25.02, 25.02
9.90, 328.79, 1.508, 25.02, 25.02
9.91, 329.04, 1.508, 25.02, 25.02
9.93, 329.29, 1.508, 25.02, 25.02
9.95, 329.54, 1.508, 25.02, 25.02
9.96, 329.79, 1.508, 25.02, 25.02
9.98, 330.04, 1.508, 25.02, 25.02
9.99, 330.29, 1.508, 25.02, 25.02
10.01, 330.54, 1.508, 25.02, 25.02
10.02, 330.78, 1.508, 25.02, 25.02
10.04, 331.03, 1.508, 25.02, 25.02
10.06, 331.28, 1.508, 25.02, 25.02
10.07, 331.53, 1.508, 25.02, 25.02
10.09, 331.78, 1.508, 25.02, 25.02
10.10, 332.03, 1.508, 25.02, 25.02
10.12, 332.28, 1.508, 25.02, 25.02
10.13, 332.53, 1.508, 25.02, 25.02
10.15, 332.78, 1.508, 25.02, 25.02
10.17, 333.03, 1.508, 25.02, 25.02
10.18, 333.28, 1.508, 25.02, 25.02
10.20, 333.53, 1.508, 25.02, 25.02
10.21, 333.78, 1.508, 25.02, 25.02
10.23, 334.03, 1.508, 25.02, 25.02
10.24, 334.28, 1.508, 25.02, 25.02
10.26, 334.53, 1.508, 25.02, 25.02
10.27, 334.78, 1.508, 25.02, 25.02
10.29, 335.03, 1.508, 25.02, 25.02
10.31, 335.28, 1.508, 25.02, 25.02
10.32, 335.53, 1.508, 25.02, 25.02
10.34, 335.78, 1.508, 25.02, 25.02
10.35, 336.03, 1.508, 25.02, 25.02
10.37, 336.28, 1.508, 25.02, 25.02
10.38, 336.53, 1.508, 25.02, 25.02
10.40, 336.78, 1.508, 25.02, 25.02
10.42, 337.03, 1.508, 25.02, 25.02
10.43, 337.28, 1.508, 25.02, 25.02
10.45, 337.53, 1.508, 25.02, 25.02
10.46, 337.78, 1.508, 25.02, 25.02
10.48, 338.03, 1.508, 25.02, 25.02
10.49, 338.28, 1.508, 25.02, 25.02
10.51, 338.53, 1.508, 25.02, 25.02
10.52, 338.78, 1.508, 25.02, 25.02
10.54, 339.03, 1.508, 25.02, 25.02
10.56, 339.28, 1.508, 25.02, 25.02
10.57, 339.53, 1.508, 25.02, 25.02
10.59, 339.78, 1.508, 25.02, 25.02
10.60, 340.03, 1.508, 25.02, 25.02
10.62, 340.28, 1.508, 25.02, 25.02
10.63, 340.53, 1.508, 25.02, 25.02
10.65, 340.78, 1.508, 25.02, 25.02
10.68, 341.06, 1.430, 32.84, 25.02
10.69, 341.23, 1.602, 7.82, 25.02
10.67, 341.39, 1.774, 7.82, 25.02
10.62, 341.53, 1.946, 7.82, 25.02
10.55, 341.67, 2.118, 7.82, 25.02
10.45, 341.78, 2.290, 7.82, 25.02
10.33, 341.88, 2.462, 7.82, 25.02
10.20, 341.95, 2.634, 7.82, 25.02
10.05, 341.99, 2.806, 7.82, 25.02
9.89, 342.00, 2.978, 7.82, 25.02
9.73, 341.99, -3.133, 7.82, 25.02
9.56, 341.94, -2.961, 7.82, 25.02
9.52, 341.94, -3.039, 7.82, 0.00
9.48, 341.94, -3.117, 7.82, 0.00
9.45, 341.94, 3.088, 7.82, 0.00
9.41, 341.95, 3.010, 7.82, 0.00
9.37, 341.96, 2.931, 7.82, 0.00
9.33, 341.97, 2.853, 7.82, 0.00
9.29, 341.99, 2.775, 7.82, 0.00
9.26, 342.01, 2.697, 7.82, 0.00
9.22, 342.03, 2.619, 7.82, 0.00
9.19, 342.05, 2.540, 7.82, 0.00
9.16, 342.08, 2.462, 7.82, 0.00
9.13, 342.10, 2.384, 7.82, 0.00
9.10, 342.13, 2.306, 7.82, 0.00
9.08, 342.17, 2.228, 7.82, 0.00
9.05, 342.20, 2.149, 7.82, 0.00
9.03, 342.24, 2.071, 7.82, 0.00
9.02, 342.27, 1.993, 7.82, 0.00
9.00, 342.31, 1.915, 7.82, 0.00
8.99, 342.35, 1.837, 7.82, 0.00
8.93, 342.49, 2.009, 7.82, 25.02
8.87, 342.58, 2.259, 0.00, 25.02
8.71, 342.77, 2.259, 25.02, 25.02
8.55, 342.97, 2.259, 25.02, 25.02
8.39, 343.16, 2.259, 25.02, 25.02
8.23, 343.35, 2.259, 25.02, 25.02
8.07, 343.55, 2.259, 25.02, 25.02
7.91, 343.74, 2.259, 25.02, 25.02
7.80, 343.84, 2.431, 7.82, 25.02
7.67, 343.91, 2.603, 7.82, 25.02
7.52, 343.96, 2.775, 7.82, 25.02
7.36, 343.98, 2.947, 7.82, 25.02
7.20, 343.97, 3.119, 7.82, 25.02
7.03, 343.93, -2.992, 7.82, 25.02
7.00, 343.93, -3.070, 7.82, 0.00
6.96, 343.93, 3.135, 7.82, 0.00
6.92, 343.93, 3.057, 7.82, 0.00
6.88, 343.94, 2.978, 7.82, 0.00
6.84, 343.95, 2.900, 7.82, 0.00
6.80, 343.97, 2.822, 7.82, 0.00
6.77, 343.98, 2.744, 7.82, 0.00
6.73, 344.00, 2.666, 7.82, 0.00
6.70, 344.02, 2.587, 7.82, 0.00
6.66, 344.05, 2.509, 7.82, 0.00
6.63, 344.07, 2.431, 7.82, 0.00
6.60, 344.10, 2.353, 7.82, 0.00
6.58, 344.13, 2.275, 7.82, 0.00
6.55, 344.17, 2.196, 7.82, 0.00
6.53, 344.20, 2.118, 7.82, 0.00
6.51, 344.24, 2.040, 7.82, 0.00
6.50, 344.27, 1.962, 7.82, 0.00
6.48, 344.31, 1.884, 7.82, 0.00
6.47, 344.35, 1.805, 7.82, 0.00
6.42, 344.50, 1.977, 7.82, 25.02
6.36, 344.59, 2.228, 0.00, 25.02
6.21, 344.79, 2.228, 25.02, 25.02
6.05, 344.98, 2.228, 25.02, 25.02
5.90, 345.18, 2.228, 25.02, 25.02
5.75, 345.38, 2.228, 25.02, 25.02
5.59, 345.58, 2.228, 25.02, 25.02
5.53, 345.70, 1.977, 25.02, 0.00
5.49, 345.87, 1.649, 32.84, 0.00
5.49, 345.91, 1.571, 7.82, 0.00
5.49, 345.95, 1.493, 7.82, 0.00
5.50, 345.99, 1.414, 7.82, 0.00
5.50, 346.03, 1.336, 7.82, 0.00
5.53, 346.19, 1.508, 7.82, 25.02
5.52, 346.32, 1.758, 0.00, 25.02
5.47, 346.56, 1.758, 25.02, 25.02
5.43, 346.81, 1.758, 25.02, 25.02
5.38, 347.05, 1.758, 25.02, 25.02
5.33, 347.30, 1.758, 25.02, 25.02
5.29, 347.55, 1.758, 25.02, 25.02
5.24, 347.79, 1.758, 25.02, 25.02
5.19, 348.04, 1.758, 25.02, 25.02
5.15, 348.28, 1.758, 25.02, 25.02
5.10, 348.53, 1.758, 25.02, 25.02
5.05, 348.78, 1.758, 25.02, 25.02
5.01, 349.02, 1.758, 25.02, 25.02
4.96, 349.27, 1.758, 25.02, 25.02
4.91, 349.51, 1.758, 25.02, 25.02
4.87, 349.76, 1.758, 25.02, 25.02
4.82, 350.00, 1.758, 25.02, 25.02
4.77, 350.25, 1.758, 25.02, 25.02
4.73, 350.50, 1.758, 25.02, 25.02
4.68, 350.74, 1.758, 25.02, 25.02
4.63, 350.99, 1.758, 25.02, 25.02
4.59, 351.23, 1.758, 25.02, 25.02
4.54, 351.48, 1.758, 25.02, 25.02
4.49, 351.73, 1.758, 25.02, 25.02
4.45, 351.97, 1.758, 25.02, 25.02
4.40, 352.22, 1.758, 25.02, 25.02
4.35, 352.46, 1.758, 25.02, 25.02
4.31, 352.71, 1.758, 25.02, 25.02
4.26, 352.95, 1.758, 25.02, 25.02
4.21, 353.20, 1.758, 25.02, 25.02
4.17, 353.45, 1.758, 25.02, 25.02
4.12, 353.69, 1.758, 25.02, 25.02
4.07, 353.94, 1.758, 25.02, 25.02
4.03, 354.18, 1.758, 25.02, 25.02
3.98, 354.43, 1.758, 25.02, 25.02
3.93, 354.68, 1.758, 25.02, 25.02
3.89, 354.92, 1.758, 25.02, 25.02
3.84, 355.17, 1.758, 25.02, 25.02
3.79, 355.41, 1.758, 25.02, 25.02
3.75, 355.66, 1.758, 25.02, 25.02
3.70, 355.91, 1.758, 25.02, 25.02
3.65, 356.15, 1.758, 25.02, 25.02
3.61, 356.40, 1.758, 25.02, 25.02
3.56, 356.64, 1.758, 25.02, 25.02
3.51, 356.89, 1.758, 25.02, 25.02
3.47, 357.13, 1.758, 25.02, 25.02
3.42, 357.38, 1.758, 25.02, 25.02
3.37, 357.63, 1.758, 25.02, 25.02
3.33, 357.87, 1.758, 25.02, 25.02
3.28, 358.12, 1.758, 25.02, 25.02
3.23, 358.36, 1.758, 25.02, 25.02
3.19, 358.61, 1.758, 25.02, 25.02
3.14, 358.86, 1.758, 25.02, 25.02
3.09, 359.10, 1.758, 25.02, 25.02
3.05, 359.35, 1.758, 25.02, 25.02
3.00, 359.59, 1.758, 25.02, 25.02
2.95, 359.84, 1.758, 25.02, 25.02
2.91, 360.08, 1.758, 25.02, 25.02
2.86, 360.33, 1.758, 25.02, 25.02
2.81, 360.58, 1.758, 25.02, 25.02
2.77, 360.82, 1.758, 25.02, 25.02
2.72, 361.07, 1.758, 25.02, 25.02
2.67, 361.31, 1.758, 25.02, 25.02
2.63, 361.56, 1.758, 25.02, 25.02
2.58, 361.81, 1.758, 25.02, 25.02
2.53, 362.05, 1.758, 25.02, 25.02
2.49, 362.30, 1.758, 25.02, 25.02
2.44, 362.54, 1.758, 25.02, 25.02
2.39, 362.79, 1.758, 25.02, 25.02
2.35, 363.03, 1.758, 25.02, 25.02
2.30, 363.28, 1.758, 25.02, 25.02
2.25, 363.53, 1.758, 25.02, 25.02
2.24, 363.65, 1.508, 25.02, 0.00
2.25, 363.69, 1.430, 7.82, 0.00
2.25, 363.73, 1.352, 7.82, 0.00
2.26, 363.77, 1.274, 7.82, 0.00
2.28, 363.80, 1.195, 7.82, 0.00
2.29, 363.84, 1.117, 7.82, 0.00
2.31, 363.87, 1.039, 7.82, 0.00
2.33, 363.90, 0.961, 7.82, 0.00
2.36, 363.93, 0.883, 7.82, 0.00
2.38, 363.96, 0.804, 7.82, 0.00
2.41, 363.98, 0.726, 7.82, 0.00
2.44, 364.00, 0.648, 7.82, 0.00
2.47, 364.02, 0.570, 7.82, 0.00
2.51, 364.04, 0.492, 7.82, 0.00
2.54, 364.06, 0.413, 7.82, 0.00
2.58, 364.07, 0.335, 7.82, 0.00
2.62, 364.08, 0.257, 7.82, 0.00
2.65, 364.08, 0.179, 7.82, 0.00
2.69, 364.08, 0.101, 7.82, 0.00
2.73, 364.08, 0.022, 7.82, 0.00
2.77, 364.08, -0.056, 7.82, 0.00
2.81, 364.07, -0.134, 7.82, 0.00
2.85, 364.06, -0.212, 7.82, 0.00
2.89, 364.05, -0.290, 7.82, 0.00
2.96, 364.03, -0.290, 7.82, 7.82
3.00, 364.02, -0.212, 0.00, 7.82
3.04, 364.02, -0.134, 0.00, 7.82
3.08, 364.02, -0.056, 0.00, 7.82
3.12, 364.02, 0.022, 0.00, 7.82
3.15, 364.02, 0.101, 0.00, 7.82
3.19, 364.03, 0.179, 0.00, 7.82
3.23, 364.04, 0.257, 0.00, 7.82
3.27, 364.06, 0.335, 0.00, 7.82
3.31, 364.08, 0.413, 0.00, 7.82
3.46, 364.10, 0.241, 25.02, 7.82
3.62, 364.10, 0.069, 25.02, 7.82
3.79, 364.07, -0.103, 25.02, 7.82
3.91, 364.01, -0.353, 25.02, 0.00
4.02, 363.93, -0.603, 25.02, 0.00
4.14, 363.77, -0.932, 32.84, 0.00
4.16, 363.74, -1.010, 7.82, 0.00
4.18, 363.71, -1.088, 7.82, 0.00
4.19, 363.67, -1.166, 7.82, 0.00
4.23, 363.60, -1.166, 7.82, 7.82
4.26, 363.52, -1.166, 7.82, 7.82
4.27, 363.49, -1.088, 0.00, 7.82
4.29, 363.46, -1.010, 0.00, 7.82
4.31, 363.43, -0.932, 0.00, 7.82
4.34, 363.40, -0.853, 0.00, 7.82
4.37, 363.37, -0.775, 0.00, 7.82
4.40, 363.35, -0.697, 0.00, 7.82
4.43, 363.33, -0.619, 0.00, 7.82
4.46, 363.31, -0.541, 0.00, 7.82
4.49, 363.29, -0.462, 0.00, 7.82
4.53, 363.28, -0.384, 0.00, 7.82
4.57, 363.27, -0.306, 0.00, 7.82
4.60, 363.26, -0.228, 0.00, 7.82
4.64, 363.26, -0.150, 0.00, 7.82
4.68, 363.26, -0.071, 0.00, 7.82
4.72, 363.26, 0.007, 0.00, 7.82
4.76, 363.26, 0.085, 0.00, 7.82
4.80, 363.27, 0.163, 0.00, 7.82
4.96, 363.26, -0.009, 25.02, 7.82
5.12, 363.21, -0.181, 25.02, 7.82
5.28, 363.14, -0.353, 25.02, 7.82
5.43, 363.05, -0.525, 25.02, 7.82
5.57, 362.93, -0.697, 25.02, 7.82
5.68, 362.79, -0.869, 25.02, 7.82
5.78, 362.64, -1.041, 25.02, 7.82
5.85, 362.48, -1.213, 25.02, 7.82
5.89, 362.32, -1.385, 25.02, 7.82
5.91, 362.15, -1.557, 25.02, 7.82
5.89, 361.99, -1.729, 25.02, 7.82
5.86, 361.84, -1.901, 25.02, 7.82
5.79, 361.70, -2.073, 25.02, 7.82
5.77, 361.66, -1.995, 0.00, 7.82
5.76, 361.63, -1.917, 0.00, 7.82
5.74, 361.59, -1.839, 0.00, 7.82
5.74, 361.59, -1.839, 0.00, 0.00
5.73, 361.46, -1.589, 0.00, 25.02
5.72, 361.21, -1.589, 25.02, 25.02
5.72, 360.96, -1.589, 25.02, 25.02
5.71, 360.71, -1.589, 25.02, 25.02
5.71, 360.46, -1.589, 25.02, 25.02
5.70, 360.21, -1.589, 25.02, 25.02
5.70, 359.96, -1.589, 25.02, 25.02
5.70, 359.71, -1.589, 25.02, 25.02
5.69, 359.46, -1.589, 25.02, 25.02
5.69, 359.21, -1.589, 25.02, 25.02
5.68, 358.96, -1.589, 25.02, 25.02
5.68, 358.71, -1.589, 25.02, 25.02
5.67, 358.46, -1.589, 25.02, 25.02
5.67, 358.21, -1.589, 25.02, 25.02
5.66, 357.96, -1.589, 25.02, 25.02
5.66, 357.71, -1.589, 25.02, 25.02
5.66, 357.46, -1.589, 25.02, 25.02
5.65, 357.21, -1.589, 25.02, 25.02
5.65, 356.96, -1.589, 25.02, 25.02
5.64, 356.71, -1.589, 25.02, 25.02
5.64, 356.46, -1.589, 25.02, 25.02
5.63, 356.21, -1.589, 25.02, 25.02
5.63, 355.95, -1.589, 25.02, 25.02
5.62, 355.70, -1.589, 25.02, 25.02
5.62, 355.45, -1.589, 25.02, 25.02
5.62, 355.20, -1.589, 25.02, 25.02
5.61, 354.95, -1.589, 25.02, 25.02
5.61, 354.70, -1.589, 25.02, 25.02
5.60, 354.45, -1.589, 25.02, 25.02
5.60, 354.20, -1.589, 25.02, 25.02
5.59, 353.95, -1.589, 25.02, 25.02
5.59, 353.70, -1.589, 25.02, 25.02
5.59, 353.45, -1.589, 25.02, 25.02
5.58, 353.20, -1.589, 25.02, 25.02
5.58, 352.95, -1.589, 25.02, 25.02
5.57, 352.70, -1.589, 25.02, 25.02
5.57, 352.45, -1.589, 25.02, 25.02
5.56, 352.20, -1.589, 25.02, 25.02
5.56, 351.95, -1.589, 25.02, 25.02
5.55, 351.70, -1.589, 25.02, 25.02
5.55, 351.45, -1.589, 25.02, 25.02
5.55, 351.20, -1.589, 25.02, 25.02
5.54, 350.95, -1.589, 25.02, 25.02
5.54, 350.70, -1.589, 25.02, 25.02
5.53, 350.45, -1.589, 25.02, 25.02
5.53, 350.20, -1.589, 25.02, 25.02
5.52, 349.95, -1.589, 25.02, 25.02
5.52, 349.70, -1.589, 25.02, 25.02
5.51, 349.45, -1.589, 25.02, 25.02
5.51, 349.20, -1.589, 25.02, 25.02
5.51, 348.95, -1.589, 25.02, 25.02
5.50, 348.70, -1.589, 25.02, 25.02
5.50, 348.45, -1.589, 25.02, 25.02
5.49, 348.20, -1.589, 25.02, 25.02
5.49, 347.95, -1.589, 25.02, 25.02
5.48, 347.70, -1.589, 25.02, 25.02
5.48, 347.45, -1.589, 25.02, 25.02
5.47, 347.20, -1.589, 25.02, 25.02
